,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2,2,1,3,2,4,1,3,3,2,2,4,4,1,0,0,2,3,3,1,4,3,4,4,1,1,0,0,166,148,33,30
1,2,2,1,3,3,4,1,3,3,2,2,4,4,1,0,0,2,3,1,1,4,3,4,4,1,2,0,0,166,148,16,30
2,2,2,3,2,1,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,173,134,16,30
3,2,4,3,2,3,1,2,2,2,2,0,0,0,0,0,0,2,1,1,3,4,4,4,1,2,0,0,0,170,127,16,30
4,2,3,4,1,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,2,4,1,0,0,0,0,0,128,125,16,30
5,2,3,4,1,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,2,4,1,0,0,0,0,0,128,125,16,30
6,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,2,0,0,0,173,125,16,30
7,2,1,3,4,3,4,2,2,3,2,1,0,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,170,164,16,30
8,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,173,125,16,30
9,2,3,4,1,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,2,4,1,0,0,0,0,0,128,134,16,30
10,2,3,2,2,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,169,125,16,30
11,2,3,4,1,3,4,2,2,1,2,3,2,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,173,165,16,30
12,2,2,3,2,1,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,173,134,16,30
13,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,2,0,0,0,134,128,16,30
14,2,2,3,2,1,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,175,134,16,30
15,2,2,3,2,1,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,2,0,0,0,173,134,16,30
16,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,174,166,16,30
17,2,2,3,1,3,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,174,125,16,30
18,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,128,128,16,30
19,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,173,125,16,30
20,2,2,3,2,1,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,2,0,0,0,173,134,16,30
21,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,174,125,16,30
22,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,131,128,16,30
23,2,2,3,2,1,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,175,134,16,30
24,2,2,3,1,3,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,174,125,16,30
25,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,132,126,16,30
26,2,2,3,1,3,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,2,0,0,0,158,125,16,30
27,2,3,4,1,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,2,4,1,0,0,0,0,0,129,125,16,30
28,2,3,4,1,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,2,4,1,0,0,0,0,0,128,125,16,30
29,2,2,2,1,3,4,2,2,2,2,0,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,169,134,16,30
30,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,2,0,0,0,135,125,16,30
31,2,3,4,1,3,4,2,2,1,2,2,0,0,0,0,0,2,3,1,4,4,4,1,1,0,0,0,0,133,125,16,30
32,2,3,4,1,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,2,4,1,0,0,0,0,0,128,125,16,30
33,2,3,4,1,3,4,2,2,1,2,3,2,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,173,165,16,30
34,2,3,4,1,3,4,2,2,1,2,0,0,0,0,0,0,2,3,1,4,2,4,1,0,0,0,0,0,128,126,16,30
35,2,3,4,1,3,4,2,2,1,2,3,2,0,0,0,0,2,3,1,4,4,4,1,1,2,2,0,0,173,168,16,30
