,object1,object2,
0,5.159607228,-574.2876587,574.2876587
1,3.778909078,-268.3792114,268.3792114
2,4.055789307,-551.1533203,551.1533203
3,3.896690016,-489.6962891,489.6962891
4,3.865377714,-374.9662476,374.9662476
5,3.907369572,-512.5360718,512.5360718
6,3.806541981,-303.7233276,303.7233276
7,5.055308516,-555.1479492,555.1479492
8,5.115672235,-566.0910645,566.0910645
9,3.95125775,-523.8408203,523.8408203
10,3.79305527,-281.1165161,281.1165161
11,5.137639732,-570.2037964,570.2037964
12,3.782253852,-271.9980774,271.9980774
13,3.845323061,-310.7868042,310.7868042
14,3.806541981,-303.7233276,303.7233276
15,5.137639732,-570.2037964,570.2037964
16,3.825932521,-307.250824,307.250824
17,3.851230734,-312.435791,312.435791
18,3.798674944,-282.4074402,282.4074402
19,3.876617062,-377.2398682,377.2398682
20,3.956935818,-525.9599609,525.9599609
21,4.033915194,-545.9567261,545.9567261
22,4.044852373,-548.5628052,548.5628052
23,3.833507804,-307.4164429,307.4164429
24,3.870997388,-376.1063232,376.1063232
25,4.050250864,-549.6158447,549.6158447
26,4.000963949,-537.5762939,537.5762939
27,3.967733372,-528.09729,528.09729
28,3.825932521,-307.250824,307.250824
29,3.978949884,-531.7819824,531.7819824
30,3.956796193,-525.4389648,525.4389648
31,3.864713601,-314.2229309,314.2229309
32,3.973271816,-529.6859741,529.6859741
33,4.017299864,-541.2936401,541.2936401
34,4.028376751,-544.4106445,544.4106445
35,3.895627395,-379.5923157,379.5923157
36,3.858805929,-312.6068726,312.6068726
37,3.79305527,-281.1165161,281.1165161
38,3.890007722,-378.4527588,378.4527588
39,3.95125775,-523.8408203,523.8408203
40,4.022838308,-542.854187,542.854187
41,4.03931393,-547.0236206,547.0236206
42,4.028376751,-544.4106445,544.4106445
43,3.967733372,-528.09729,528.09729
44,4.011761504,-539.7266235,539.7266235
45,3.787868725,-273.2160034,273.2160034
46,3.890007722,-378.4527588,378.4527588
47,3.98434862,-532.8544312,532.8544312
48,3.97341144,-530.1997681,530.1997681
49,4.006362685,-538.6559448,538.6559448
50,3.989887063,-534.4333496,534.4333496
51,4.017299864,-541.2936401,541.2936401
52,3.995425506,-536.008606,536.008606
53,3.787868725,-273.2160034,273.2160034
54,3.876617062,-377.2398682,377.2398682
55,3.995285881,-535.5059204,535.5059204
56,3.978810259,-531.2697144,531.2697144
57,4.055649682,-550.6638184,550.6638184
58,4.011761504,-539.7266235,539.7266235
59,3.989747438,-533.9233398,533.9233398
60,4.022698683,-542.3606567,542.3606567
61,4.03931393,-547.0236206,547.0236206
62,4.000684617,-536.5749512,536.5749512
63,3.984208995,-532.3345337,532.3345337
64,4.00622306,-538.1536865,538.1536865
65,3.98434862,-532.8544312,532.8544312
66,3.97341144,-530.1997681,530.1997681
67,3.989887063,-534.4333496,534.4333496
68,3.995425506,-536.008606,536.008606
69,4.006362685,-538.6559448,538.6559448
70,4.022838308,-542.854187,542.854187
71,4.055789307,-551.1533203,551.1533203
72,3.858805929,-312.6068726,312.6068726
73,3.833507804,-307.4164429,307.4164429
74,3.864713601,-314.2229309,314.2229309
75,4.00622306,-538.1536865,538.1536865
76,3.989747438,-533.9233398,533.9233398
77,3.973271816,-529.6859741,529.6859741
78,4.022698683,-542.3606567,542.3606567
79,3.787868725,-273.2160034,273.2160034
80,4.055789307,-551.1533203,551.1533203
81,3.876617062,-377.2398682,377.2398682
82,3.79305527,-281.1165161,281.1165161
83,4.03931393,-547.0236206,547.0236206
84,4.028376751,-544.4106445,544.4106445
85,3.967733372,-528.09729,528.09729
86,4.055649682,-550.6638184,550.6638184
87,3.890007722,-378.4527588,378.4527588
88,3.995425506,-536.008606,536.008606
89,3.973271816,-529.6859741,529.6859741
90,3.864713601,-314.2229309,314.2229309
91,3.995425506,-536.008606,536.008606
92,3.989887063,-534.4333496,534.4333496
93,4.022838308,-542.854187,542.854187
94,3.97341144,-530.1997681,530.1997681
95,3.98434862,-532.8544312,532.8544312
96,4.006362685,-538.6559448,538.6559448
97,3.989747438,-533.9233398,533.9233398
98,3.864713601,-314.2229309,314.2229309
99,3.989887063,-534.4333496,534.4333496
100,4.022838308,-542.854187,542.854187
101,4.055789307,-551.1533203,551.1533203
102,3.858805929,-312.6068726,312.6068726
103,4.00622306,-538.1536865,538.1536865
104,3.989747438,-533.9233398,533.9233398
105,4.055789307,-551.1533203,551.1533203
106,3.995425506,-536.008606,536.008606
107,3.858805929,-312.6068726,312.6068726
108,3.989887063,-534.4333496,534.4333496
109,3.864713601,-314.2229309,314.2229309
110,3.890007722,-378.4527588,378.4527588
