,object1,object2
0,2.772258292824781,-184.18780517578125
1,3.8381090479998288,-600.1658325195312
2,2.958255074764729,-340.84674072265625
3,2.8506506129584315,-307.446044921875
4,3.6416673346414745,-592.8493041992188
5,3.634744280611533,-590.627197265625
6,3.4160889203264717,-468.37060546875
7,3.5294694895784264,-521.6673583984375
8,2.81026626,-223.75315856933594
9,3.3405966363778714,-398.9895935058594
10,3.2685303423316485,-373.193359375
11,2.9444089667048456,-337.0139465332031
12,3.5107179598373777,-513.9387817382812
13,3.1829991097007397,-342.1147766113281
14,3.3158449502172473,-390.6143493652344
15,3.3040162982458474,-386.1809997558594
16,3.4308055378905538,-478.7017517089844
17,3.4426341898619537,-484.50079345703125
18,3.4662914938047535,-495.91534423828125
19,2.9118111526436214,-327.0309753417969
20,3.503794905807436,-511.6851501464844
21,3.4613858958632946,-492.56842041015625
22,3.4988893078659777,-508.41534423828125
23,2.895077078991056,-320.34625244140625
24,2.867384966032625,-313.8731994628906
25,2.8743079169012313,-315.4796142578125
26,3.3276736021886473,-395.08294677734375
27,3.4732145478346945,-498.2259521484375
28,3.297554781151235,-384.25286865234375
29,3.2738974772084357,-375.619140625
30,3.825435492316186,-595.3082275390625
31,2.7966314252342652,-186.69290161132812
32,2.772974121291466,-184.34400939941406
33,3.3341351192832596,-397.040771484375
34,3.4939837099245192,-505.12750244140625
35,2.8624792649298314,-311.4544982910156
36,3.2921876462744475,-381.7729187011719
37,3.280358994303048,-377.487548828125
38,2.9395033687633876,-334.4438171386719
39,2.9276748930522802,-330.01910400390625
40,2.902000133020997,-322.0578918457031
41,2.890171481049597,-317.89862060546875
42,3.4209945182679298,-471.8291320800781
43,3.4258999399490957,-475.27398681640625
44,3.2250519948168277,-348.6610107421875
45,3.4801376018646364,-500.53070068359375
46,3.449557243891895,-486.87109375
47,2.920751839022339,-328.1703796386719
48,2.932580314733446,-332.5886535644531
49,2.883248427019656,-316.2775573730469
50,3.4870606558945783,-502.8304443359375
51,2.7903591382831383,-186.0005645751953
52,3.2531072060722233,-355.75164794921875
53,3.2176212501580244,-347.24676513671875
54,2.932580314733446,-332.5886535644531
55,3.2057925981866244,-344.4423522949219
56,3.285726129179835,-379.893798828125
57,2.9069057309624555,-324.5197448730469
58,3.825435492316186,-595.3082275390625
59,3.285726129179835,-379.893798828125
60,3.4377285919204956,-481.0783996582031
61,3.449557243891895,-486.87109375
62,3.4564802979218365,-489.2062683105469
63,3.4801376018646364,-500.53070068359375
64,3.4870606558945783,-502.8304443359375
65,3.5107179598373777,-513.9387817382812
66,2.7848027732628653,-185.4908905029297
67,3.3223064673118596,-392.559326171875
68,2.808460077205665,-187.9493865966797
69,2.8239092918083384,-226.44932556152344
70,2.8170877759041693,-225.09861755371094
71,3.3223064673118596,-392.559326171875
72,2.8624792649298314,-311.4544982910156
73,3.4377285919204956,-481.0783996582031
74,3.4564802979218365,-489.2062683105469
75,3.4258999399490957,-475.27398681640625
76,3.4209945182679298,-471.8291320800781
77,2.9069057309624555,-324.5197448730469
78,3.2206540875042324,-347.2514343261719
79,3.2635707880772356,-357.17413330078125
80,3.2013946908740283,-343.06134033203125
81,3.2088254355328325,-344.46075439453125
82,3.244311391447032,-352.93896484375
83,2.8375522219683744,-229.22735595703125
84,3.229449902129424,-350.0855712890625
85,3.2368806467882276,-351.5162353515625
86,3.2487092987596276,-354.34771728515625
87,3.2412785541008238,-352.9306335449219
88,3.2605379507310275,-357.1710205078125
89,3.2679686953898317,-358.5639953613281
90,3.213223342845428,-345.84442138671875
91,2.8170877759041693,-225.09861755371094
92,2.8457522159141995,-231.1905059814453
93,3.1829991097007397,-342.1147766113281
