,number,value,datetime_start,datetime_complete,duration,params_lr,params_model_dim,params_otherfeatures_hidden_size,params_skin_hidden_size,params_stringer_hidden_size,params_weight_decay,state,,number,value,,9,1857.15186,,7,861.4396769,,9,4015.743273
1,1,2897.767198,23:25.1,32:50.1,0 days 01:09:25.010031,0.000125858,4096,2048,1024,2048,4.42E-06,COMPLETE,,32,576.6674601,,44,185.13129,,,,,42,1106.913466
48,33,2906.913466,51:31.8,58:20.9,0 days 01:06:49.141130,0.000188159,4096,2048,1024,2048,2.02E-06,COMPLETE,,33,609.0994195,,16,185.07336,,,,,16,1100.394436
43,29,2920.740207,07:32.5,55:59.1,0 days 02:48:26.598453,0.00082934,4096,2048,2048,2048,4.80E-05,COMPLETE,,34,1981.889242,,49,184.32191,,,,,49,1058.083605
39,26,2981.889242,48:20.1,03:15.4,0 days 02:14:55.234183,0.000224312,2048,2048,2048,2048,1.58E-05,COMPLETE,,35,1597.767198,,45,183.45189,,,,,45,1042.203803
50,35,2998.000298,59:09.7,03:54.0,0 days 01:04:44.278313,0.000156749,4096,2048,1024,2048,1.20E-06,COMPLETE,,36,1645.1234,,50,183.32913,,,,,40,1025.609165
47,32,3053.120768,15:55.6,51:31.6,0 days 01:35:36.053430,0.002029714,2048,2048,2048,2048,7.13E-06,COMPLETE,,37,1250.892198,,40,183.29377,,,,,50,834.6789958
10,7,3263.628174,38:11.3,00:02.3,0 days 01:21:51.044851,0.002658237,2048,2048,2048,1024,4.93E-05,COMPLETE,,38,1747.154826,,22,181.845,,,,,,
30,17,3350.274685,58:49.0,28:23.1,0 days 00:29:34.051783,0.000891401,4096,4096,1024,2048,7.39E-06,COMPLETE,,39,733.7383219,,46,181.23891,,,,,,
34,21,3545.580811,04:01.8,26:37.7,0 days 01:22:35.905362,0.003178275,4096,2048,1024,2048,4.67E-06,COMPLETE,,40,1025.609165,,14,180.26798,,,,,,
49,34,4015.743273,58:21.2,59:09.5,0 days 01:00:48.365336,0.000239679,4096,2048,1024,2048,1.67E-06,COMPLETE,,41,1320.740207,,29,180.11376,,,,,,
,42,,,,,,,,,,,,,42,1106.913466,,7,174.65049,,,,,,
,43,,,,,,,,,,,,,43,1123.4431,,20,174.62034,,,,,,
,44,,,,,,,,,,,,,44,1110.945516,,8,161.75317,,,,,,
,45,,,,,,,,,,,,,45,1042.203803,,23,158.64258,,,,,,
,46,,,,,,,,,,,,,46,893.658827,,25,152.59938,,,,,,
,47,,,,,,,,,,,,,47,1298.064589,,39,148.03259,,,,,,
,48,,,,,,,,,,,,,48,1116.888536,,33,132.01714,,,,,,
,49,,,,,,,,,,,,,49,1058.083605,,32,131.65151,,,,,,
,50,,,,,,,,,,,,,50,834.6789958,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,247.33476,,,,,,,,,,,,,,,,,,,,,,,
8,161.75317,,,,,,,,,,,,,,,,,,,,,,,
14,131.65151,,,,,,,,,,,,,,,,,,,,,,,
15,184.32191,,,,,,,,,,,,,,,,,,,,,,,
15,183.32913,,,,,,,,,,,,,,,,,,,,,,,
16,821.64012,,,,,,,,,,,,,,,,,,,,,,,
17,576.13013,,,,,,,,,,,,,,,,,,,,,,,
18,296.15552,,,,,,,,,,,,,,,,,,,,,,,
19,184.32191,,,,,,,,,,,,,,,,,,,,,,,
20,183.32913,,,,,,,,,,,,,,,,,,,,,,,
21,180.26798,,,,,,,,,,,,,,,,,,,,,,,
22,821.64012,,,,,,,,,,,,,,,,,,,,,,,
23,185.07336,,,,,,,,,,,,,,,,,,,,,,,
24,401.473,,,,,,,,,,,,,,,,,,,,,,,
24,342.67451,,,,,,,,,,,,,,,,,,,,,,,
25,353.95298,,,,,,,,,,,,,,,,,,,,,,,
26,174.62034,,,,,,,,,,,,,,,,,,,,,,,
27,394.91312,,,,,,,,,,,,,,,,,,,,,,,
28,181.845,,,,,,,,,,,,,,,,,,,,,,,
29,158.64258,,,,,,,,,,,,,,,,,,,,,,,
30,576.13013,,,,,,,,,,,,,,,,,,,,,,,
31,152.59938,,,,,,,,,,,,,,,,,,,,,,,
32,246.61536,,,,,,,,,,,,,,,,,,,,,,,
32,253.14962,,,,,,,,,,,,,,,,,,,,,,,
33,391.83106,,,,,,,,,,,,,,,,,,,,,,,
34,180.11376,,,,,,,,,,,,,,,,,,,,,,,
35,325.48724,,,,,,,,,,,,,,,,,,,,,,,
36,203.43591,,,,,,,,,,,,,,,,,,,,,,,
37,131.65151,,,,,,,,,,,,,,,,,,,,,,,
