,0
0,1.0
1,0.7598931749078577
2,0.465362510569835
3,0.836906084195399
4,0.18690537598700507
5,0.6788646843882273
6,0.890730945261358
7,0.746958188346147
8,0.9798366210457925
9,0.05007683176093703
10,0.5366409187499274
11,0.5743295181970989
12,0.6857119851549951
13,0.4532336253275957
14,0.9595658997066042
15,0.2259411290878343
16,0.0223924346055722
17,0.6133261293435724
18,0.2834636625713905
19,0.08961426687151788
20,0.4835672309698878
21,0.16383576488538892
22,0.02864531151923005
23,0.32991267653812
24,0.11252590655916074
25,0.9039624172970041
26,0.2656257121235862
27,0.16836331503031762
28,0.08763223510555922
29,0.411471846105458
30,0.6921047415246743
31,0.6373554548823002
32,0.10659687874346303
33,0.0
34,0.4896060093355306
35,0.2042337985768662
36,0.10434102394167741
37,0.03844036955279527
38,0.8913175440979604
39,0.5802351936852672
40,0.11564502055807817
41,0.8560104862595951
42,0.5613130339031659
43,0.6269703522421641
44,0.8620950918031337
45,0.6493067771438398
46,0.9932834062043474
47,0.7790282799359164
48,0.23748812313022497
49,0.08568034633993395
50,0.4593822056610357
51,0.5495596129473684
52,0.5019063485320153
53,0.4174144672296172
54,0.15783881892094903
55,0.8553140394512903
56,0.9197710648235665
57,0.23013299494577222
58,0.34854451457499486
59,0.7536336892717812
60,0.09162017044634337
61,0.9371560683119341
62,0.3372226866066942
63,0.11015509212514205
64,0.5861450183667289
65,0.10047025753470523
66,0.10835623326012907
67,0.17295711189057716
68,0.5789780673439168
69,0.36473267373131574
70,0.23362502497977441
71,0.02346003003320157
72,0.7723550676662798
73,0.7347407599887608
74,0.26127385646487405
75,0.04525308637473831
76,0.5353991097010736
77,0.2567010555722299
78,0.5483429557299191
79,0.40228711494036373
80,0.5079827141983242
81,0.8362336062023443
82,0.5874124270443317
83,0.1648932622265477
84,0.35094622502465317
85,0.09464900693999215
86,0.07635316948507648
87,0.766130655098827
88,0.12309397564403189
89,0.6672816418434504
90,0.5671942061333711
91,0.7210199109187038
92,0.22320258820704963
93,0.09780218772963069
94,0.5554369049078348
95,0.29367515511060555
96,0.44729274854669393
97,0.477354784413803
98,0.11817800209986012
99,0.10318425987266132
100,0.47459604722620524
101,0.5625502647393624
102,0.2885455748485881
103,0.39121586496581284
104,0.5814946783887286
105,0.8613908863552829
106,0.04060438051902534
107,0.3455973640552532
108,0.42923021688596336
109,0.11327919294185514
110,0.4956311901094271
111,0.1231784014307903
112,0.661309741187518
113,0.44122892129854174
114,0.12823451381658402
115,0.7844203073876886
116,0.8238622072575684
117,0.2752583670162097
118,0.5730813052374377
119,0.11098831520572505
120,0.09365450961692302
121,0.7913707705817957
122,0.04773183660092123
123,0.3146674136348852
124,0.15467967642582195
125,0.8492085197178283
126,0.5600791808700171
127,0.043929747301649995
128,0.18667354120982926
129,0.531762905457187
