,object1,object2,,,,πÈ“ªæÿ’Û,,,,,,,,,,,,,,,,,,,,,,
46,3.02808003,-417.5737915,417.5737915,,,1.00E-08,0.00000001,,,,3.03918E-11,3.0416E-11,-7.35993E-10,-7.36556E-10,,,,,,,5.00165E-09,4.99835E-09,,0.707340343,3.30316E-12,4.66983E-12,,
47,3.355301801,-491.9049683,491.9049683,,,0.915868084,0.906582808,,,,0.002791256,0.002765089,-0.016416113,-0.016288261,,,,,,,0.458085305,0.453141675,,0.063102472,0.644344252,0.91080251,,
48,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
49,3.338741688,-489.5004578,489.5004578,,,0.905351575,0.900745882,,,,0.002759117,0.002747237,-0.016259047,-0.016200897,,,,,,,0.452825313,0.450224176,,0.068812517,0.638555059,0.902720283,,
50,2.364062845,-229.5401917,229.5401917,,,0.286381217,0.269694829,,,,0.000871122,0.000820978,-0.006137688,-0.005833059,,,,,,,0.143237906,0.134802872,,0.510770655,0.196694966,0.278027596,,
51,2.931837082,-384.1412964,384.1412964,,,0.646946572,0.644987528,,,,0.00197006,0.001965652,-0.012272864,-0.012249807,,,,,,,0.323580134,0.322387239,,0.250573859,0.456768682,0.645753161,,
52,3.073780483,-424.8269653,424.8269653,,,0.73708781,0.743751599,,,,0.002245171,0.002267326,-0.013693239,-0.013806096,,,,,,,0.368665641,0.371752963,,0.183798299,0.52355956,0.740162215,,
53,3.438102364,-514.0779419,514.0779419,,,0.968450629,0.960407489,,,,0.002951983,0.002929736,-0.017196122,-0.017088689,,,,,,,0.484385262,0.480045126,,0.02556992,0.681962165,0.963860409,,
54,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
55,2.931837082,-384.1412964,384.1412964,,,0.646946572,0.644987528,,,,0.00197006,0.001965652,-0.012272864,-0.012249807,,,,,,,0.323580134,0.322387239,,0.250573859,0.456768682,0.645753161,,
56,3.127009452,-437.2668152,437.2668152,,,0.770890897,0.773949216,,,,0.002348377,0.0023596,-0.014217147,-0.014273843,,,,,,,0.385572767,0.386846784,,0.161159765,0.546183838,0.772161982,,
57,2.799787452,-351.0363159,351.0363159,,,0.563088378,0.564625506,,,,0.00171426,0.001720321,-0.010917733,-0.010950262,,,,,,,0.281637187,0.282219501,,0.308633737,0.398707093,0.563670407,,
58,3.203895461,-459.6242981,459.6242981,,,0.819717401,0.828221791,,,,0.00249749,0.002525483,-0.014966129,-0.015105731,,,,,,,0.409994083,0.413974108,,0.124738606,0.582640286,0.823660831,,
59,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
60,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
61,2.34438532,-217.4083099,217.4083099,,,0.273884993,0.240244803,,,,0.000833079,0.000731263,-0.005906848,-0.005280261,,,,,,,0.136987731,0.120082723,,0.52570001,0.182168867,0.257348321,,
62,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
63,3.157763718,-446.3018188,446.3018188,,,0.790421411,0.7958816,,,,0.002408016,0.00242663,-0.014517816,-0.014611348,,,,,,,0.39534125,0.397809354,,0.146508574,0.560844879,0.792877842,,
64,2.676338658,-318.3983154,318.3983154,,,0.484692151,0.485397072,,,,0.001475239,0.001478568,-0.009616988,-0.009635355,,,,,,,0.242426126,0.242618369,,0.364362123,0.342978272,0.484884327,,
65,3.203895461,-459.6242981,459.6242981,,,0.819717401,0.828221791,,,,0.00249749,0.002525483,-0.014966129,-0.015105731,,,,,,,0.409994083,0.413974108,,0.124738606,0.582640286,0.823660831,,
66,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
67,2.786775935,-347.1673584,347.1673584,,,0.554825407,0.555233648,,,,0.001689062,0.001691657,-0.010782264,-0.010796233,,,,,,,0.277504337,0.277525123,,0.314875255,0.392465088,0.554846181,,
68,3.173140966,-450.7755432,450.7755432,,,0.800186741,0.806741523,,,,0.002437839,0.002459823,-0.014667608,-0.014777793,,,,,,,0.400225528,0.403237522,,0.13922247,0.568138156,0.803180351,,
69,3.219272708,-464.021637,464.021637,,,0.829482731,0.838896289,,,,0.002527317,0.002558116,-0.015114867,-0.015268075,,,,,,,0.414878361,0.419309594,,0.117522168,0.589868275,0.833865203,,
70,2.825810486,-358.0897827,358.0897827,,,0.579614321,0.581747729,,,,0.00176466,0.001772582,-0.011187587,-0.011229869,,,,,,,0.289902888,0.290777784,,0.296737753,0.4106037,0.580488671,,
71,2.538374807,-279.9403687,279.9403687,,,0.397078128,0.392040775,,,,0.001208249,0.001193856,-0.008117724,-0.008035326,,,,,,,0.198604645,0.195955639,,0.428348193,0.279002533,0.394433091,,
72,3.127009452,-437.2668152,437.2668152,,,0.770890897,0.773949216,,,,0.002348377,0.0023596,-0.014217147,-0.014273843,,,,,,,0.385572767,0.386846784,,0.161159765,0.546183838,0.772161982,,
73,3.388422026,-501.0858154,501.0858154,,,0.936901102,0.928869227,,,,0.002855541,0.002833255,-0.016729168,-0.016620808,,,,,,,0.468605288,0.464281203,,0.047787902,0.659657443,0.932450044,,
74,3.388422026,-501.0858154,501.0858154,,,0.936901102,0.928869227,,,,0.002855541,0.002833255,-0.016729168,-0.016620808,,,,,,,0.468605288,0.464281203,,0.047787902,0.659657443,0.932450044,,
75,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
76,3.203895461,-459.6242981,459.6242981,,,0.819717401,0.828221791,,,,0.00249749,0.002525483,-0.014966129,-0.015105731,,,,,,,0.409994083,0.413974108,,0.124738606,0.582640286,0.823660831,,
77,3.02808003,-417.5737915,417.5737915,,,0.70806571,0.72614459,,,,0.002156579,0.002213532,-0.013239739,-0.013531688,,,,,,,0.354149798,0.362952366,,0.200369248,0.507105997,0.716782673,,
78,2.54267519,-281.1047058,281.1047058,,,0.399809089,0.394867193,,,,0.001216569,0.001202473,-0.008165274,-0.008084678,,,,,,,0.199970576,0.197368381,,0.426383249,0.280967089,0.397210652,,
79,2.946031253,-388.4307251,388.4307251,,,0.655960588,0.655400075,,,,0.001997564,0.001997448,-0.01241651,-0.012415908,,,,,,,0.328088631,0.327591793,,0.243704529,0.4636362,0.655463741,,
80,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
81,2.604183951,-290.2683716,290.2683716,,,0.438870263,0.417111904,,,,0.001335587,0.0012703,-0.008839426,-0.008470999,,,,,,,0.219507614,0.208487062,,0.40477743,0.302738243,0.427889098,,
82,3.45466223,-518.375,518.375,,,0.978966982,0.970838557,,,,0.002984134,0.00296165,-0.017351086,-0.017242753,,,,,,,0.489645175,0.485258937,,0.018244601,0.689368278,0.974216692,,
83,2.709458884,-322.7558594,322.7558594,,,0.505725169,0.495974969,,,,0.001539355,0.001510838,-0.009969467,-0.009813029,,,,,,,0.252946109,0.24790557,,0.353202715,0.354173546,0.50068622,,
84,3.173140966,-450.7755432,450.7755432,,,0.800186741,0.806741523,,,,0.002437839,0.002459823,-0.014667608,-0.014777793,,,,,,,0.400225528,0.403237522,,0.13922247,0.568138156,0.803180351,,
85,2.491812075,-245.756134,245.756134,,,0.367508438,0.309058874,,,,0.001118173,0.000940919,-0.007599168,-0.006556936,,,,,,,0.183814916,0.154478393,,0.468590242,0.240107255,0.338800767,,
86,3.127009452,-437.2668152,437.2668152,,,0.770890897,0.773949216,,,,0.002348377,0.0023596,-0.014217147,-0.014273843,,,,,,,0.385572767,0.386846784,,0.161159765,0.546183838,0.772161982,,
87,2.692898771,-322.7034302,322.7034302,,,0.49520866,0.495847697,,,,0.001507296,0.001510449,-0.009793563,-0.009810895,,,,,,,0.247686118,0.247841955,,0.356949106,0.350391271,0.495364442,,
88,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
89,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
90,3.355301801,-491.9049683,491.9049683,,,0.915868084,0.906582808,,,,0.002791256,0.002765089,-0.016416113,-0.016288261,,,,,,,0.458085305,0.453141675,,0.063102472,0.644344252,0.91080251,,
91,3.142386471,-441.8133545,441.8133545,,,0.780656081,0.784985896,,,,0.002378196,0.002393329,-0.014367663,-0.014443909,,,,,,,0.390456972,0.392363302,,0.153808733,0.553539158,0.782555749,,
92,2.216204995,-188.1153259,188.1153259,,,0.192484004,0.169136365,,,,0.000585336,0.00051471,-0.004356844,-0.003897338,,,,,,,0.096273792,0.084540248,,0.579544908,0.128123748,0.181050478,,
93,3.265404222,-477.5820618,477.5820618,,,0.858778575,0.87181409,,,,0.002616811,0.002658762,-0.015559034,-0.015766178,,,,,,,0.429531121,0.435763058,,0.095586597,0.611871243,0.864887218,,
94,3.203895461,-459.6242981,459.6242981,,,0.819717401,0.828221791,,,,0.00249749,0.002525483,-0.014966129,-0.015105731,,,,,,,0.409994083,0.413974108,,0.124738606,0.582640286,0.823660831,,
95,2.34438532,-217.4083099,217.4083099,,,0.273884993,0.240244803,,,,0.000833079,0.000731263,-0.005906848,-0.005280261,,,,,,,0.136987731,0.120082723,,0.52570001,0.182168867,0.257348321,,
96,3.355301801,-491.9049683,491.9049683,,,0.915868084,0.906582808,,,,0.002791256,0.002765089,-0.016416113,-0.016288261,,,,,,,0.458085305,0.453141675,,0.063102472,0.644344252,0.91080251,,
97,2.659778545,-316.181488,316.181488,,,0.474175642,0.480015745,,,,0.001443184,0.001462152,-0.009439729,-0.009544701,,,,,,,0.237166135,0.239928594,,0.369988588,0.337362566,0.476937889,,
98,3.017003165,-411.4615173,411.4615173,,,0.701031341,0.711307103,,,,0.002135108,0.002168204,-0.01312929,-0.013299452,,,,,,,0.350631451,0.355536073,,0.208033414,0.499347882,0.705910497,,
99,3.487782456,-530.3880005,530.3880005,,,1,1,,,,0.003048443,0.003050882,-0.017660011,-0.017671698,,,,,,,0.500165158,0.499834842,,0.000330316,0.707106813,0.999533081,,
100,3.265404222,-477.5820618,477.5820618,,,0.858778575,0.87181409,,,,0.002616811,0.002658762,-0.015559034,-0.015766178,,,,,,,0.429531121,0.435763058,,0.095586597,0.611871243,0.864887218,,
101,2.773764418,-340.1986694,340.1986694,,,0.546562435,0.538317223,,,,0.001663865,0.001640032,-0.010646425,-0.010517591,,,,,,,0.273371487,0.269069704,,0.323790794,0.383575899,0.54225892,,
102,2.588806704,-287.8774414,287.8774414,,,0.429104933,0.411307943,,,,0.00130583,0.001252602,-0.008671905,-0.008370554,,,,,,,0.214623337,0.205586041,,0.410257221,0.297201603,0.420097386,,
103,3.45466223,-518.375,518.375,,,0.978966982,0.970838557,,,,0.002984134,0.00296165,-0.017351086,-0.017242753,,,,,,,0.489645175,0.485258937,,0.018244601,0.689368278,0.974216692,,
104,3.203895461,-459.6242981,459.6242981,,,0.819717401,0.828221791,,,,0.00249749,0.002525483,-0.014966129,-0.015105731,,,,,,,0.409994083,0.413974108,,0.124738606,0.582640286,0.823660831,,
105,3.438102364,-514.0779419,514.0779419,,,0.968450629,0.960407489,,,,0.002951983,0.002929736,-0.017196122,-0.017088689,,,,,,,0.484385262,0.480045126,,0.02556992,0.681962165,0.963860409,,
106,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
107,2.692898771,-322.7034302,322.7034302,,,0.49520866,0.495847697,,,,0.001507296,0.001510449,-0.009793563,-0.009810895,,,,,,,0.247686118,0.247841955,,0.356949106,0.350391271,0.495364442,,
108,2.573429456,-285.5253601,285.5253601,,,0.419339603,0.405598289,,,,0.001276074,0.001235192,-0.008503717,-0.008271502,,,,,,,0.209739059,0.202732157,,0.415708683,0.291703267,0.412352756,,
109,3.173140966,-450.7755432,450.7755432,,,0.800186741,0.806741523,,,,0.002437839,0.002459823,-0.014667608,-0.014777793,,,,,,,0.400225528,0.403237522,,0.13922247,0.568138156,0.803180351,,
110,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
111,3.487782456,-530.3880005,530.3880005,,,1,1,,,,0.003048443,0.003050882,-0.017660011,-0.017671698,,,,,,,0.500165158,0.499834842,,0.000330316,0.707106813,0.999533081,,
112,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
113,3.173140966,-450.7755432,450.7755432,,,0.800186741,0.806741523,,,,0.002437839,0.002459823,-0.014667608,-0.014777793,,,,,,,0.400225528,0.403237522,,0.13922247,0.568138156,0.803180351,,
114,3.421542252,-509.8599854,509.8599854,,,0.95793412,0.95016844,,,,0.002919834,0.002898411,-0.017040816,-0.016937133,,,,,,,0.47912527,0.474927292,,0.032857674,0.67462356,0.953556827,,
115,2.799787452,-351.0363159,351.0363159,,,0.563088378,0.564625506,,,,0.00171426,0.001720321,-0.010917733,-0.010950262,,,,,,,0.281637187,0.282219501,,0.308633737,0.398707093,0.563670407,,
116,3.173140966,-450.7755432,450.7755432,,,0.800186741,0.806741523,,,,0.002437839,0.002459823,-0.014667608,-0.014777793,,,,,,,0.400225528,0.403237522,,0.13922247,0.568138156,0.803180351,,
117,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
118,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
119,2.54267519,-281.1047058,281.1047058,,,0.399809089,0.394867193,,,,0.001216569,0.001202473,-0.008165274,-0.008084678,,,,,,,0.199970576,0.197368381,,0.426383249,0.280967089,0.397210652,,
120,3.219272708,-464.021637,464.021637,,,0.829482731,0.838896289,,,,0.002527317,0.002558116,-0.015114867,-0.015268075,,,,,,,0.414878361,0.419309594,,0.117522168,0.589868275,0.833865203,,
121,2.491812075,-245.756134,245.756134,,,0.367508438,0.309058874,,,,0.001118173,0.000940919,-0.007599168,-0.006556936,,,,,,,0.183814916,0.154478393,,0.468590242,0.240107255,0.338800767,,
122,3.45466223,-518.375,518.375,,,0.978966982,0.970838557,,,,0.002984134,0.00296165,-0.017351086,-0.017242753,,,,,,,0.489645175,0.485258937,,0.018244601,0.689368278,0.974216692,,
123,2.825810486,-358.0897827,358.0897827,,,0.579614321,0.581747729,,,,0.00176466,0.001772582,-0.011187587,-0.011229869,,,,,,,0.289902888,0.290777784,,0.296737753,0.4106037,0.580488671,,
124,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
125,3.173140966,-450.7755432,450.7755432,,,0.800186741,0.806741523,,,,0.002437839,0.002459823,-0.014667608,-0.014777793,,,,,,,0.400225528,0.403237522,,0.13922247,0.568138156,0.803180351,,
126,3.203895461,-459.6242981,459.6242981,,,0.819717401,0.828221791,,,,0.00249749,0.002525483,-0.014966129,-0.015105731,,,,,,,0.409994083,0.413974108,,0.124738606,0.582640286,0.823660831,,
127,3.438102364,-514.0779419,514.0779419,,,0.968450629,0.960407489,,,,0.002951983,0.002929736,-0.017196122,-0.017088689,,,,,,,0.484385262,0.480045126,,0.02556992,0.681962165,0.963860409,,
128,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
129,3.127009452,-437.2668152,437.2668152,,,0.770890897,0.773949216,,,,0.002348377,0.0023596,-0.014217147,-0.014273843,,,,,,,0.385572767,0.386846784,,0.161159765,0.546183838,0.772161982,,
130,2.650315694,-297.681488,297.681488,,,0.468166253,0.435107173,,,,0.001424868,0.001325177,-0.009338125,-0.008780898,,,,,,,0.234160448,0.217481725,,0.388160314,0.319576926,0.451547422,,
131,2.634938447,-295.1734924,295.1734924,,,0.458400923,0.429019037,,,,0.001395106,0.00130661,-0.009172521,-0.008676309,,,,,,,0.22927617,0.214438663,,0.393726394,0.313929129,0.443618566,,
132,3.45466223,-518.375,518.375,,,0.978966982,0.970838557,,,,0.002984134,0.00296165,-0.017351086,-0.017242753,,,,,,,0.489645175,0.485258937,,0.018244601,0.689368278,0.974216692,,
133,3.157763718,-446.3018188,446.3018188,,,0.790421411,0.7958816,,,,0.002408016,0.00242663,-0.014517816,-0.014611348,,,,,,,0.39534125,0.397809354,,0.146508574,0.560844879,0.792877842,,
