,0
0,0.10394704563435586
1,0.9157473666051833
2,0.9323665942617431
3,0.9553424647695294
4,0.14647671609076643
5,0.28359164041438845
6,0.08652428653353436
7,0.022625560518453578
8,0.5104330258388047
9,0.09158529781311513
10,0.9498229463580855
11,0.0
12,0.9571809910726861
13,0.8777909944031839
14,0.9351948813489495
15,0.9399734586487662
16,0.6585872886884765
17,0.32311303898828514
18,0.05431093849169038
19,0.04888754203706418
20,0.25766646063893683
21,0.890869358299834
22,0.999831203389051
23,0.9667436688315074
24,0.9972860417865954
25,0.9897577396133501
26,0.8123656921205386
27,0.9792730905626996
28,0.6693061443943497
29,0.7885556617717506
30,0.9999116755220611
31,0.9996792323504415
32,0.9979360307078391
33,0.4830014387998523
34,0.9695739564197248
35,0.9865268947890958
36,0.44955057029777473
37,0.9825894320275466
38,0.8005165755794416
39,0.870924962957653
40,0.9840294977055836
41,0.9875851744673153
42,0.6821618445211146
43,0.9997956249727069
44,0.6863532820238654
45,0.939579962079113
46,0.7399512236470329
47,0.8237523367772281
48,0.6176319368514376
49,0.9809969207012459
50,0.9566507028956075
51,0.8643675431242391
52,0.7268104236157353
53,0.7134725432660376
54,0.9998705265809664
55,0.7780801347840374
56,0.7655981740256546
57,0.5621934602418499
58,0.9338285044826243
59,0.9137903414241119
60,0.9884310687633819
61,0.9898321354233915
62,0.949934914620829
63,0.7528842216110517
64,0.984846212415361
65,0.9872889027747866
66,0.8567554772741839
67,0.9867001005060531
68,0.9975541186386059
69,1.0
70,0.10631038549550048
71,0.9824866149427659
72,0.9439301621256168
73,0.6398016036403297
74,0.4343191614521622
75,0.8349040317594022
76,0.9441022198324576
77,0.999847358617213
