,object1,object2
0,2.7848027732628653,-185.4908905029297
1,3.825435492316186,-595.3082275390625
2,2.913828784992397,-326.3245544433594
3,3.423011974356413,-470.7791442871094
4,3.4821550579531193,-499.50384521484375
5,2.890171481049597,-317.89862060546875
6,3.28682051139766,-379.3518981933594
7,3.710201230798811,-551.0704956054688
8,2.8425594596839074,-230.34307861328125
9,3.232482739475632,-350.09368896484375
10,3.774741458431929,-575.6325073242188
11,3.281453376520872,-376.9389343261719
12,3.4397460480089785,-480.02911376953125
13,3.2679686953898317,-358.5639953613281
14,3.244311391447032,-352.93896484375
15,3.47032640598172,-493.8484802246094
16,3.735548342166096,-561.4717407226562
17,3.4564802979218365,-489.2062683105469
18,3.755144848718345,-568.6160888671875
19,3.4515746999803785,-485.8213195800781
20,3.72979773735106,-558.4258422851562
21,3.749394347064644,-565.6399536132812
22,2.902000133020997,-322.0576171875
23,3.4466691020389204,-482.4017333984375
24,2.902000133020997,-322.0576171875
25,2.8698454216522817,-236.25729370117188
26,3.743643845410943,-562.6240844726562
27,2.8816740736236817,-239.16903686523438
28,2.863023905748112,-234.7061309814453
29,3.244311391447032,-352.93896484375
30,3.7620679027482864,-570.6486206054688
31,3.717124181667417,-553.2290649414062
32,3.4634033519517784,-491.530029296875
33,3.4634033519517784,-491.530029296875
34,3.7240472356973586,-555.3677368164062
35,3.7689909567782283,-572.6781005859375
36,2.8443737378725436,-230.61386108398438
37,3.717124181667417,-553.2290649414062
38,3.7240472356973586,-555.3677368164062
39,2.886681209690912,-240.51376342773438
40,3.7620679027482864,-570.6486206054688
41,3.7689909567782283,-572.6781005859375
42,2.8562023898439435,-233.21897888183594
43,2.849380873939774,-231.75624084472656
44,2.8543881116553074,-232.92213439941406
45,2.8511952537767127,-232.04554748535156
46,2.874852557719512,-237.54483032226562
47,2.8784813173933887,-238.15359497070312
48,2.861209525911174,-234.41136169433594
49,2.8766669375564504,-237.852294921875
50,2.861209525911174,-234.41136169433594
51,2.874852557719512,-237.54483032226562
52,2.8884955895278503,-240.83055114746094
53,2.8884955895278503,-240.83055114746094
54,2.8784813173933887,-238.15359497070312
55,2.8562023898439435,-233.21897888183594
56,3.4515746999803785,-485.8213195800781
57,3.47032640598172,-493.8484802246094
58,2.902000133020997,-322.0576171875
59,3.717124181667417,-553.2290649414062
60,2.863023905748112,-234.7061309814453
61,3.4634033519517784,-491.530029296875
62,3.749394347064644,-565.6399536132812
63,3.4515746999803785,-485.8213195800781
64,3.4634033519517784,-491.530029296875
65,3.743643845410943,-562.6240844726562
66,3.743643845410943,-562.6240844726562
67,3.7689909567782283,-572.6781005859375
68,2.886681209690912,-240.51376342773438
69,2.861209525911174,-234.41136169433594
70,2.8562023898439435,-233.21897888183594
71,2.8816740736236817,-239.16903686523438
72,2.8816740736236817,-239.16903686523438
73,2.8884955895278503,-240.83055114746094
74,2.8562023898439435,-233.21897888183594
75,3.7689909567782283,-572.6781005859375
76,3.4634033519517784,-491.530029296875
77,3.749394347064644,-565.6399536132812
78,2.8884955895278503,-240.83055114746094
79,2.863023905748112,-234.7061309814453
80,3.749394347064644,-565.6399536132812
81,2.8884955895278503,-240.83055114746094
82,2.863023905748112,-234.7061309814453
83,2.8884955895278503,-240.83055114746094
84,2.863023905748112,-234.7061309814453
85,3.749394347064644,-565.6399536132812
86,2.8884955895278503,-240.83055114746094
87,2.863023905748112,-234.7061309814453
88,2.8884955895278503,-240.83055114746094
89,2.863023905748112,-234.7061309814453
90,3.7689909567782283,-572.6781005859375
91,3.4634033519517784,-491.530029296875
92,2.863023905748112,-234.7061309814453
93,2.8816740736236817,-239.16903686523438
94,2.863023905748112,-234.7061309814453
95,2.861209525911174,-234.41136169433594
96,2.8884955895278503,-240.83055114746094
97,2.8562023898439435,-233.21897888183594
98,2.8884955895278503,-240.83055114746094
99,3.7689909567782283,-572.6781005859375
100,2.8884955895278503,-240.83055114746094
101,2.863023905748112,-234.7061309814453
102,2.8884955895278503,-240.83055114746094
103,2.863023905748112,-234.7061309814453
104,2.8816740736236817,-239.16903686523438
105,2.8562023898439435,-233.21897888183594
106,3.743643845410943,-562.6240844726562
107,3.749394347064644,-565.6399536132812
108,2.8562023898439435,-233.21897888183594
109,2.863023905748112,-234.7061309814453
110,2.8562023898439435,-233.21897888183594
111,2.861209525911174,-234.41136169433594
112,3.7240472356973586,-555.3677368164062
113,2.863023905748112,-234.7061309814453
114,2.8562023898439435,-233.21897888183594
115,2.863023905748112,-234.7061309814453
116,3.7689909567782283,-572.6781005859375
117,3.7620679027482864,-570.6486206054688
118,2.8884955895278503,-240.83055114746094
119,2.863023905748112,-234.7061309814453
120,2.874852557719512,-237.54483032226562
121,2.902000133020997,-322.0576171875
122,2.874852557719512,-237.54483032226562
123,2.886681209690912,-240.51376342773438
124,2.863023905748112,-234.7061309814453
125,2.8884955895278503,-240.83055114746094
126,3.7689909567782283,-572.6781005859375
127,3.4634033519517784,-491.530029296875
128,3.743643845410943,-562.6240844726562
129,3.749394347064644,-565.6399536132812
130,2.8884955895278503,-240.83055114746094
131,3.7689909567782283,-572.6781005859375
132,3.743643845410943,-562.6240844726562
133,3.749394347064644,-565.6399536132812
134,3.4515746999803785,-485.8213195800781
135,2.8816740736236817,-239.16903686523438
136,2.8562023898439435,-233.21897888183594
137,3.7689909567782283,-572.6781005859375
138,3.743643845410943,-562.6240844726562
139,2.8884955895278503,-240.83055114746094
140,3.7689909567782283,-572.6781005859375
141,3.717124181667417,-553.2290649414062
142,3.749394347064644,-565.6399536132812
143,3.749394347064644,-565.6399536132812
144,2.8816740736236817,-239.16903686523438
145,2.863023905748112,-234.7061309814453
146,3.7689909567782283,-572.6781005859375
147,2.8816740736236817,-239.16903686523438
148,3.7689909567782283,-572.6781005859375
149,3.4515746999803785,-485.8213195800781
150,3.4634033519517784,-491.530029296875
151,2.8884955895278503,-240.83055114746094
152,3.717124181667417,-553.2290649414062
153,3.4515746999803785,-485.8213195800781
154,3.2679686953898317,-358.5639953613281
155,3.749394347064644,-565.6399536132812
156,2.8884955895278503,-240.83055114746094
157,2.8562023898439435,-233.21897888183594
158,2.8443737378725436,-230.61386108398438
159,3.4397460480089785,-480.02911376953125
160,3.4397460480089785,-480.02911376953125
161,3.47032640598172,-493.8484802246094
162,3.4634033519517784,-491.530029296875
163,3.4634033519517784,-491.530029296875
164,2.8816740736236817,-239.16903686523438
165,2.863023905748112,-234.7061309814453
166,3.749394347064644,-565.6399536132812
167,3.7689909567782283,-572.6781005859375
168,3.749394347064644,-565.6399536132812
169,3.749394347064644,-565.6399536132812
170,3.7620679027482864,-570.6486206054688
