,train_loss,train_mape,val_loss,val_mape,epoch
0,47927.99359809028,0.668503999710083,15203.876736111111,0.4582039415836334,1
1,18046.957682291668,0.48355334997177124,13369.113172743055,0.4744548797607422,2
2,9894.08538140191,0.3212253451347351,6168.926432291667,0.2260214239358902,3
3,6048.850077311198,0.2410033494234085,4954.537027994792,0.2086658626794815,4
4,4514.250128851996,0.20871016383171082,4067.4520670572915,0.186810702085495,5
5,3827.3424275716147,0.1865130066871643,4021.5256076388887,0.20441482961177826,6
6,3377.723151312934,0.17657403647899628,3230.9745008680557,0.16750095784664154,7
7,3653.4041341145835,0.18101508915424347,3751.8796115451387,0.16796815395355225,8
8,3684.9908650716147,0.18072980642318726,3471.1781955295137,0.16671113669872284,9
9,3252.815233018663,0.1723240315914154,3301.9641927083335,0.1711968183517456,10
10,3232.4298027886284,0.17132321000099182,3375.5015462239585,0.18103402853012085,11
11,3396.180162217882,0.1753663867712021,3218.2721896701387,0.1761273741722107,12
12,3297.5779622395835,0.17455936968326569,3307.998725043403,0.16329291462898254,13
13,3424.4545694986978,0.17619894444942474,3133.0838758680557,0.1669505387544632,14
14,3502.713623046875,0.17640097439289093,3213.30517578125,0.1640186756849289,15
15,3163.2072550455728,0.1686663180589676,3010.043646918403,0.16256903111934662,16
16,3313.159518771701,0.1718873232603073,3306.390570746528,0.1606311798095703,17
17,3314.466844346788,0.16909116506576538,2993.1448838975693,0.16191735863685608,18
18,2959.819627549913,0.1649763137102127,3369.5025770399307,0.16418340802192688,19
19,3206.529249403212,0.1696280986070633,2905.5282389322915,0.16344326734542847,20
20,2969.3990885416665,0.16473333537578583,2895.5759006076387,0.16394875943660736,21
21,3015.0970526801216,0.1651114672422409,2955.656684027778,0.15674889087677002,22
22,3090.9318101671006,0.16682954132556915,3010.1429850260415,0.15772530436515808,23
23,3025.8837381998696,0.1655818372964859,3128.3515353732637,0.15981344878673553,24
24,3175.2026095920137,0.16886088252067566,3315.889838324653,0.18395249545574188,25
25,3028.9031439887153,0.16666512191295624,3116.086181640625,0.15894815325737,26
26,3119.1392347547744,0.16778545081615448,3157.3183865017363,0.16266056895256042,27
27,3108.364006890191,0.167327880859375,2861.6773274739585,0.1620136797428131,28
28,3042.186075846354,0.16391757130622864,2910.172553168403,0.1566944122314453,29
29,3061.8268161349824,0.16502517461776733,2980.4939778645835,0.1610257923603058,30
