,object1,object2
0,2.079424009787351,-152.96043395996094
1,2.8719420350243867,-360.9505615234375
2,2.9145251821214258,-373.369873046875
3,3.0028087826427106,-404.2714538574219
4,2.1156615768865352,-159.45545959472656
5,3.0028087826427106,-404.2714538574219
6,2.2162049952612284,-188.11532592773438
7,3.0028087826427106,-404.2714538574219
8,2.0609625689104796,-144.65771484375
9,1.9204892952612282,-127.09064483642578
10,2.375139709787351,-243.7184600830078
11,2.068347145261228,-151.0602264404297
12,2.9854968824374737,-401.2805480957031
13,1.9204892952612282,-127.09064483642578
14,1.931135082035488,-133.5089569091797
15,3.0280800295345127,-417.57379150390625
16,2.7997874518851695,-351.03631591796875
17,2.9318370823266626,-384.14129638671875
18,3.0028087826427106,-404.2714538574219
19,2.9429139468527854,-385.1139831542969
20,2.511920695261228,-276.7890930175781
21,2.227281859787351,-207.24285888671875
22,3.0028087826427106,-404.2714538574219
23,2.7997874518851695,-351.03631591796875
24,3.0028087826427106,-404.2714538574219
25,1.9131047189104797,-118.43992614746094
26,1.9188646884640637,-120.0663833618164
27,2.20882041891048,-170.95291137695312
28,3.0028087826427106,-404.2714538574219
29,2.1156615768865352,-159.45545959472656
30,3.0028087826427106,-404.2714538574219
31,2.8258104862222497,-358.08978271484375
32,3.4546622303884265,-518.375
33,3.0848573474848813,-434.9308166503906
34,3.487782455908346,-530.3880004882812
35,2.7997874518851695,-351.03631591796875
36,3.0028087826427106,-404.2714538574219
37,3.2654042218707326,-477.5820617675781
38,2.692898770781148,-322.70343017578125
39,3.127009452082116,-437.2668151855469
40,2.7997874518851695,-351.03631591796875
41,2.522997559787351,-279.2832946777344
42,2.6597785452612284,-316.1814880371094
43,3.4381023643928765,-514.0779418945312
44,3.2654042218707326,-477.5820617675781
45,2.6597785452612284,-316.1814880371094
46,3.0280800295345127,-417.57379150390625
47,3.355301800593078,-491.90496826171875
48,3.0028087826427106,-404.2714538574219
49,3.338741687833118,-489.5004577636719
50,2.3640628452612282,-229.54019165039062
51,2.9318370823266626,-384.14129638671875
52,3.0737804829587585,-424.82696533203125
53,3.4381023643928765,-514.0779418945312
54,2.511920695261228,-276.7890930175781
55,2.9318370823266626,-384.14129638671875
56,3.127009452082116,-437.2668151855469
57,2.7997874518851695,-351.03631591796875
58,3.203895460757834,-459.6242980957031
59,2.511920695261228,-276.7890930175781
60,3.0028087826427106,-404.2714538574219
61,2.344385320417887,-217.40830993652344
62,3.0028087826427106,-404.2714538574219
63,3.1577637180693747,-446.30181884765625
64,2.676338658021188,-318.3983154296875
65,3.203895460757834,-459.6242980957031
66,3.0028087826427106,-404.2714538574219
67,2.78677593471663,-347.1673583984375
68,3.1731409656321947,-450.7755432128906
69,3.219272708320654,-464.0216369628906
70,2.8258104862222497,-358.08978271484375
71,2.538374807350171,-279.94036865234375
72,3.127009452082116,-437.2668151855469
73,3.3884220261129974,-501.0858154296875
74,3.3884220261129974,-501.0858154296875
75,3.0028087826427106,-404.2714538574219
76,3.203895460757834,-459.6242980957031
77,3.0280800295345127,-417.57379150390625
78,2.542675190386868,-281.1047058105469
79,2.9460312531799913,-388.43072509765625
80,2.511920695261228,-276.7890930175781
81,2.604183951499766,-290.26837158203125
82,3.4546622303884265,-518.375
83,2.7094588835411075,-322.755859375
84,3.1731409656321947,-450.7755432128906
85,2.491812075039995,-245.75613403320312
86,3.127009452082116,-437.2668151855469
87,2.692898770781148,-322.70343017578125
88,3.0028087826427106,-404.2714538574219
89,3.0028087826427106,-404.2714538574219
90,3.355301800593078,-491.90496826171875
91,3.1423864705065547,-441.8133544921875
92,2.2162049952612284,-188.11532592773438
93,3.2654042218707326,-477.5820617675781
94,3.203895460757834,-459.6242980957031
95,2.344385320417887,-217.40830993652344
96,3.355301800593078,-491.90496826171875
97,2.6597785452612284,-316.1814880371094
98,3.01700316500839,-411.4615173339844
99,3.487782455908346,-530.3880004882812
100,3.2654042218707326,-477.5820617675781
101,2.77376441754809,-340.19866943359375
102,2.588806703936947,-287.87744140625
103,3.4546622303884265,-518.375
104,3.203895460757834,-459.6242980957031
105,3.4381023643928765,-514.0779418945312
106,2.511920695261228,-276.7890930175781
107,2.692898770781148,-322.70343017578125
108,2.573429456374127,-285.5253601074219
109,3.1731409656321947,-450.7755432128906
110,2.511920695261228,-276.7890930175781
111,3.487782455908346,-530.3880004882812
112,2.511920695261228,-276.7890930175781
113,3.1731409656321947,-450.7755432128906
114,3.421542251632917,-509.8599853515625
115,2.7997874518851695,-351.03631591796875
116,3.1731409656321947,-450.7755432128906
117,2.511920695261228,-276.7890930175781
118,2.511920695261228,-276.7890930175781
119,2.542675190386868,-281.1047058105469
120,3.219272708320654,-464.0216369628906
121,2.491812075039995,-245.75613403320312
122,3.4546622303884265,-518.375
123,2.8258104862222497,-358.08978271484375
124,3.0028087826427106,-404.2714538574219
125,3.1731409656321947,-450.7755432128906
126,3.203895460757834,-459.6242980957031
127,3.4381023643928765,-514.0779418945312
128,2.511920695261228,-276.7890930175781
129,3.127009452082116,-437.2668151855469
130,2.650315694188225,-297.6814880371094
131,2.634938446625406,-295.1734924316406
132,3.4546622303884265,-518.375
133,3.1577637180693747,-446.30181884765625
134,2.431917027737719,-244.8558807373047
135,2.542675190386868,-281.1047058105469
136,2.588806703936947,-287.87744140625
137,3.1731409656321947,-450.7755432128906
138,2.6597785452612284,-316.1814880371094
139,2.9176426999609832,-373.6221923828125
140,2.8778563610100862,-372.48138427734375
141,3.203895460757834,-459.6242980957031
142,2.588806703936947,-287.87744140625
143,2.344385320417887,-217.40830993652344
144,2.511920695261228,-276.7890930175781
145,3.219272708320654,-464.0216369628906
146,3.0028087826427106,-404.2714538574219
147,3.2654042218707326,-477.5820617675781
148,3.203895460757834,-459.6242980957031
149,3.3884220261129974,-501.0858154296875
150,3.4546622303884265,-518.375
151,3.234649955883474,-468.537109375
152,3.421542251632917,-509.8599853515625
153,2.511920695261228,-276.7890930175781
154,3.234649955883474,-468.537109375
155,2.9318370823266626,-384.14129638671875
156,3.1731409656321947,-450.7755432128906
157,3.203895460757834,-459.6242980957031
158,3.234649955883474,-468.537109375
159,3.203895460757834,-459.6242980957031
160,3.203895460757834,-459.6242980957031
161,3.234649955883474,-468.537109375
162,3.2654042218707326,-477.5820617675781
163,3.1731409656321947,-450.7755432128906
164,2.7997874518851695,-351.03631591796875
165,3.355301800593078,-491.90496826171875
166,2.511920695261228,-276.7890930175781
167,3.355301800593078,-491.90496826171875
168,3.487782455908346,-530.3880004882812
169,3.127009452082116,-437.2668151855469
170,2.573429456374127,-285.5253601074219
171,3.2807814694335526,-482.72100830078125
172,3.219272708320654,-464.0216369628906
173,3.0028087826427106,-404.2714538574219
174,2.7997874518851695,-351.03631591796875
175,3.127009452082116,-437.2668151855469
176,3.1731409656321947,-450.7755432128906
177,3.0028087826427106,-404.2714538574219
178,3.0028087826427106,-404.2714538574219
179,2.9886144002770303,-403.3055725097656
180,3.2654042218707326,-477.5820617675781
181,3.2654042218707326,-477.5820617675781
182,3.127009452082116,-437.2668151855469
183,2.604183951499766,-290.26837158203125
184,3.234649955883474,-468.537109375
185,3.203895460757834,-459.6242980957031
186,3.219272708320654,-464.0216369628906
187,3.1731409656321947,-450.7755432128906
188,3.219272708320654,-464.0216369628906
189,2.511920695261228,-276.7890930175781
190,3.0028087826427106,-404.2714538574219
191,3.0028087826427106,-404.2714538574219
192,2.511920695261228,-276.7890930175781
193,3.1731409656321947,-450.7755432128906
194,3.4381023643928765,-514.0779418945312
195,2.588806703936947,-287.87744140625
196,3.355301800593078,-491.90496826171875
197,3.127009452082116,-437.2668151855469
198,3.203895460757834,-459.6242980957031
199,3.1731409656321947,-450.7755432128906
200,3.0028087826427106,-404.2714538574219
201,3.1731409656321947,-450.7755432128906
202,3.127009452082116,-437.2668151855469
203,3.1731409656321947,-450.7755432128906
204,3.203895460757834,-459.6242980957031
205,3.0028087826427106,-404.2714538574219
206,3.2654042218707326,-477.5820617675781
207,2.511920695261228,-276.7890930175781
208,2.588806703936947,-287.87744140625
209,2.2162049952612284,-188.11532592773438
210,3.0028087826427106,-404.2714538574219
211,3.1731409656321947,-450.7755432128906
212,3.203895460757834,-459.6242980957031
213,3.203895460757834,-459.6242980957031
214,3.127009452082116,-437.2668151855469
215,2.619561199062586,-292.7000732421875
216,3.355301800593078,-491.90496826171875
217,3.2654042218707326,-477.5820617675781
218,2.511920695261228,-276.7890930175781
219,3.2654042218707326,-477.5820617675781
220,3.203895460757834,-459.6242980957031
221,2.511920695261228,-276.7890930175781
222,3.1731409656321947,-450.7755432128906
223,2.511920695261228,-276.7890930175781
224,2.511920695261228,-276.7890930175781
225,3.1731409656321947,-450.7755432128906
226,3.355301800593078,-491.90496826171875
227,2.588806703936947,-287.87744140625
228,3.0028087826427106,-404.2714538574219
229,3.355301800593078,-491.90496826171875
230,2.511920695261228,-276.7890930175781
231,3.203895460757834,-459.6242980957031
232,2.634938446625406,-295.1734924316406
233,3.1731409656321947,-450.7755432128906
234,3.127009452082116,-437.2668151855469
235,3.1885182131950147,-455.912109375
236,3.203895460757834,-459.6242980957031
237,3.1731409656321947,-450.7755432128906
238,3.0028087826427106,-404.2714538574219
239,2.491812075039995,-245.75613403320312
240,3.1995950777211375,-456.87506103515625
241,3.203895460757834,-459.6242980957031
242,3.127009452082116,-437.2668151855469
243,2.511920695261228,-276.7890930175781
244,2.759138975056577,-329.88873291015625
245,2.634938446625406,-295.1734924316406
246,2.8258104862222497,-358.08978271484375
247,2.604183951499766,-290.26837158203125
248,3.0028087826427106,-404.2714538574219
249,3.203895460757834,-459.6242980957031
250,3.203895460757834,-459.6242980957031
251,2.511920695261228,-276.7890930175781
252,3.203895460757834,-459.6242980957031
253,2.511920695261228,-276.7890930175781
254,3.2500269743079127,-476.5918884277344
255,2.573429456374127,-285.5253601074219
256,3.234649955883474,-468.537109375
257,3.1423864705065547,-441.8133544921875
258,3.471222343148386,-525.9495849609375
259,3.404982138872957,-505.2853088378906
260,3.203895460757834,-459.6242980957031
261,2.511920695261228,-276.7890930175781
262,3.203895460757834,-459.6242980957031
263,3.203895460757834,-459.6242980957031
264,3.1731409656321947,-450.7755432128906
265,3.2654042218707326,-477.5820617675781
266,2.511920695261228,-276.7890930175781
267,3.355301800593078,-491.90496826171875
268,2.588806703936947,-287.87744140625
269,3.487782455908346,-530.3880004882812
270,3.4381023643928765,-514.0779418945312
271,2.9176426999609832,-373.6221923828125
272,3.487782455908346,-530.3880004882812
273,3.219272708320654,-464.0216369628906
274,3.4381023643928765,-514.0779418945312
275,2.542675190386868,-281.1047058105469
276,3.127009452082116,-437.2668151855469
277,3.203895460757834,-459.6242980957031
278,2.542675190386868,-281.1047058105469
279,3.1731409656321947,-450.7755432128906
280,3.219272708320654,-464.0216369628906
281,2.9318370823266626,-384.14129638671875
282,3.1731409656321947,-450.7755432128906
283,3.2654042218707326,-477.5820617675781
284,3.203895460757834,-459.6242980957031
285,3.203895460757834,-459.6242980957031
286,2.6597785452612284,-316.1814880371094
287,2.588806703936947,-287.87744140625
288,2.604183951499766,-290.26837158203125
289,3.219272708320654,-464.0216369628906
290,2.511920695261228,-276.7890930175781
291,3.203895460757834,-459.6242980957031
292,2.511920695261228,-276.7890930175781
293,2.650315694188225,-297.6814880371094
294,3.487782455908346,-530.3880004882812
295,3.234649955883474,-468.537109375
